title,author,isbn,goodreads_id,goodreads_shelf,status,owned,rating,page_count,published_year,goodreads_date_read,publisher
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,9781649374042,61431922,to-read,unread,true,,517,2023,,Entangled: Red Tower Books
Future Boy: Back to the Future and My Journey Through the Space-Time Continuum,Michael J. Fox,9781250866783,219743625,to-buy,wishlist,false,,162,2025,,Flatiron Books
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,,61215351,to-read,unread,true,,432,2022,,William Morrow
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,,6900,to-read,unread,true,,210,2000,,Warner
Vagabond,Tim Curry,9780306835841,225819054,to-buy,wishlist,false,,304,2025,,Grand Central Publishing
"The Idaho Four: An American Tragedy (James Patterson True Crime, 3)",James  Patterson,9780316572859,222733476,to-buy,wishlist,false,,448,2025,,"Little, Brown and Company"
The Tragedy of True Crime: Four Guilty Men and the Stories That Define Us,John J.  Lennon,9781250858245,222376732,to-buy,wishlist,false,,368,2025,,Celadon Books
Murderland: Crime and Bloodlust in the Time of Serial Killers,Caroline Fraser,9780593657225,217927444,to-buy,wishlist,false,,480,2025,,Penguin Press
"Softly, As I Leave You: Life After Elvis",Priscilla Beaulieu Presley,9780306836480,231364287,read,read,true,4,336,2025,2025/11/08,Grand Central Publishing
Artemis,Andy Weir,9780553448122,34928122,to-buy,wishlist,false,,305,2017,,Crown
Project Hail Mary,Andy Weir,9780593135204,54493401,read,read,true,5,476,2021,2025/10/20,Ballantine Books
Inferno,Dante Alighieri,9780812970067,15645,to-buy,wishlist,false,,490,2022,,Modern Library
The Sun Also Rises,Ernest Hemingway,,3876,to-buy,wishlist,false,,189,1957,,Pan Books
The Call of the Wild,Jack London,,1852,to-buy,wishlist,false,,172,2001,,Scholastic
Beowulf,Unknown,9780393320978,52357,to-read,unread,true,,259,2001,,W.W. Norton & Company
And Then There Were None,Agatha Christie,9780312330873,16299,to-buy,wishlist,false,,264,2004,,St. Martin's Griffin
The Great Gatsby,F. Scott Fitzgerald,,41733839,to-read,unread,true,4,180,2018,2011/01/01,Scribner
"The Cat Who Saved the Library (The Cat Who..., #2)",Sōsuke Natsukawa,9781035050628,218647825,to-buy,wishlist,false,,239,2025,,Picador
"The Curious Kitten at the Chibineko Kitchen (Meals to Remember at the Chibineko Kitchen, #1)",Yuta Takahashi,9780143138617,212807260,to-buy,wishlist,false,,192,2025,,Penguin Books
The Blanket Cats,Kiyoshi Shigematsu,9780593852699,213870117,to-buy,wishlist,false,,272,2025,,G.P. Putnam's Sons
Lost Girls: An Unsolved American Mystery,Robert Kolker,9780062183637,16248146,to-buy,wishlist,false,,399,2013,,Harper
When Breath Becomes Air,Paul Kalanithi,9780812988413,25899336,to-buy,wishlist,false,,208,2016,,Random House
Brave New World and Brave New World Revisited,Aldous Huxley,9780060776091,5479,to-read,unread,true,,340,2005,,Harper Perennial Modern Classics
Call It What You Want,Alissa DeRogatis,9781464223372,206097138,read,read,true,3,307,2024,2025/09/23,Sourcebooks Landmark
Howl’s Moving Castle,Diana Wynne Jones,9780063416468,222399131,to-read,unread,true,,341,2025,,Greenwillow Books
While Idaho Slept: The Hunt for Answers in the Murders of Four College Students,J. Reuben Appelman,9780063346697,123195174,read,read,true,4,274,2023,2025/09/05,Harper Paperbacks
The Last Letter,Rebecca Yarros,9781640635333,40045986,read,read,true,5,426,2019,2025/08/31,Entangled: Amara
Steve Jobs,Walter Isaacson,9781451648539,11084145,to-read,unread,true,,630,2011,,Simon & Schuster
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,9780062870674,38359036,to-read,unread,true,,272,2018,,Harper
The Boy in the Striped Pajamas,John Boyne,9780385751070,39999,to-read,unread,true,,224,2006,,David Fickling Books
In Cold Blood,Truman Capote,9780679745587,168642,to-read,unread,true,,343,1994,,Vintage
The Lost Girls,John Glatt,9781250036377,23453949,to-read,unread,true,,352,2015,,St. Martin's Press
Missoula: Rape and the Justice System in a College Town,Jon Krakauer,9780385538732,24911006,to-buy,wishlist,false,,368,2015,,Doubleday
The Family Next Door: The Heartbreaking Imprisonment of the Thirteen Turpin Siblings and Their Extraordinary Rescue,John Glatt,9781250202130,41150394,to-buy,wishlist,false,,320,2019,,St. Martin's Press
"Stolen Innocence: My Story of Growing Up in a Polygamist Sect, Becoming a Teenage Bride, and Breaking Free of Warren Jeffs",Elissa Wall,9780061628016,2659997,to-buy,wishlist,false,,438,2008,,William Morrow
You Don't Have to Be Mad to Work Here,Benji Waterhouse,9781529927665,199374109,to-buy,wishlist,false,,336,2024,,Vintage Digital
"We'll Always Have Summer (Summer, #3)",Jenny Han,9781416995586,8680278,read,read,true,4,291,2011,2025/08/14,Simon & Schuster Children's Publishing
"It's Not Summer Without You (Summer, #2)",Jenny Han,9781416995555,6584188,read,read,true,4,275,2010,2025/08/12,Simon & Schuster Books for Young Readers
"The Summer I Turned Pretty (Summer, #1)",Jenny Han,9781416968238,5821978,read,read,true,5,276,2009,2025/08/10,Simon & Schuster Books for Young Readers
Into the Wild,Jon Krakauer,,60869516,read,read,true,3,217,2015,2025/08/07,Anchor
