title,author,genre,subgenre,isbn,page_count,rating,status,owned,synopsis,date_added
Archerâ€™s Voice,Mia Sheridan,Romance,Eternal Embers X LarryReads,9781538727355,388,,unread,true,"I wanted to lose myself in the small town of Pelion, Maine. To forget everything I had left behind. The sound of rain. The blood. The coldness of a gun against my skin. For six months, each breath has been a reminder that I survived--and my dad didnâ€™t. Iâ€™m almost safe again. But the moment I meet Archer Hale, my entire world tilts on its axis . . . and never rights itself again.

Until I trespass into his strange, silent, and isolated world, Archer communicates with no one. Yet in his whiske",2024-10-25
As Old As Time,Liz Braswell,Fantasy,,9781338225754,484,,unread,true,,2025-12-20
Astronomy: The Stargazerâ€™s Handbook,Giles Sparrow,,,9781623657086,223,,unread,true,"From the craters of the Moon to the far reaches of Orion, The Stargazerâ€™s Handbook will enable you to explore space without leaving the comforts of Earth. All you need are a pair of binoculars and a clear night sky to experience the wonders of the universe. This book will take you on a journey through space, beginning with our own moon and neighboring planets before exploring the fascinating sights of deep space-from hypergiant suns and stellar nurseries to blazing nebulae and swirling galaxie",2025-07-01
Awearness,Kenneth Cole,,,9781595910462,,,unread,true,,2025-01-06
Bad For You,Abbi Glines,Drama,,9781481420747,320,,unread,true,"Addiction is part of Krit Corbinâ€™s natureâ€”and women have always been his favorite obsession. But thatâ€™s the life of a lead singer in a band. He can have any woman he wantsâ€”anywhere, anytime. Well, except for one.",2024-10-25
Bad Luck and Trouble,Lee Child,Crime,,9780440246015,477,,unread,true,"From a helicopter high above the California desert, a man is sent free-falling into the night. On the streets of Portland, Jack Reacher is pulled out of his wandering life and plunged into the heart of a conspiracy that is killing old friends . . . and the people he once trusted with his life.

Reacher is the ultimate lonerâ€”no phone, no ties, no address. But a woman from his old military unit has found him using a signal only the eight members of their elite team would know. Then she tells him",2024-10-25
"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitlerâ€™s Eagleâ€™s Nest",Stephen E Ambrose,Military,WW II,9781501179402,336,,unread,true,"Stephen E. Ambroseâ€™s classic New York Times bestseller and inspiration for the acclaimed HBO series about Easy Company, the ordinary men who became the World War IIâ€™s most extraordinary soldiers at the frontlines of the warâ€™s most critical moments. Featuring a foreword from Tom Hanks.

They came together, citizen soldiers, in the summer of 1942, drawn to Airborne by the $50 monthly bonus and a desire to be better than the other guy. And at its peakâ€”in Holland and the Ardennesâ€”Easy Comp",2024-10-25
Beach Read,Emily Henry,Romance,Open Door,9781984806734,354,,unread,true,"A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters. 

Augustus Everett is an acclaimed author of literary fiction. January Andrews writes bestselling romance. When she pens a happily ever after, he kills off his entire cast. Theyâ€™re polar opposites. In fact, the only thing they have in common is that for the next three months, theyâ€™re living in neighboring",2026-06-09
Because Of Miss Bridgeton,Julia Quinn,Romance,Historical Romance,9780062388148,375,,unread,true,"1779. Book A
Bridgerton. 
Billie Bridgerton
George Rokesby",2024-09-23
Because of Low,Abbi Glines,Romance,,9781442488632,290,,unread,true,"Playboy Cage owns the apartment, and he hosts a revolving door of people, in and out, at all times. Most of them are long-legged hot girls who are never there more than a night or two. When Cageâ€™s new roommate, Marcus, enters the picture, heâ€™s just looking to nurse a broken heart. But thereâ€™s one particular semi-frequent regular who catches his eye.",2024-10-25
